,Top 25,Top 50,Top 100,Top 200
precision,0.08,0.16,0.15,0.14
recall,0.005333333333333333,0.021333333333333333,0.04,0.07466666666666667
f1,0.01,0.03764705882352941,0.06315789473684211,0.0973913043478261
ndcg,0.09579013805637125,0.1487846112922568,0.14500679931899454,0.13841623749358603
