,Top 25,Top 50,Top 100,Top 200
precision,0.08,0.12,0.09,0.08
recall,0.005115089514066497,0.015345268542199489,0.023017902813299233,0.04092071611253197
f1,0.009615384615384616,0.027210884353741503,0.03665987780040733,0.05414551607445009
ndcg,0.07529438403673658,0.10748839545839137,0.09029119661267412,0.08181185729521273
