,Top 50,Top 100,Top 200,Top N
precision,0.0059665871121718375,0.00994431185361973,0.01909307875894988,0.005171042163882259
recall,0.3,0.25,0.24,0.40625
f1,0.011700468018720748,0.01912777352716144,0.03537214443625645,0.010212097407698349
ndcg,0.11233369072433258,0.11664759019070368,0.14092440368648496,0.13224424321134287
