,Top 50,Top 100,Top 200,Top N
precision,0.0,0.0,0.013157894736842105,0.0
recall,0.0,0.0,0.005,0.0
f1,0.0,0.0,0.007246376811594203,0.0
ndcg,0.0,0.0,0.011194002099861341,0.0
