,Top 50,Top 100,Top 200,Top N
precision,"(0.008, 0.009797958971132711)","(0.008, 0.0074833147735478825)","(0.009, 0.007348469228349534)","(0.0109375, 0.007967217989988727)"
recall,"(0.015692307692307693, 0.019225229971462535)","(0.03238795986622074, 0.030082384837611338)","(0.07146488294314382, 0.057874193050339376)","(0.05577257525083612, 0.040333381018290766)"
f1,"(0.010596491228070177, 0.01297847259889652)","(0.012826635694928378, 0.011981090138082405)","(0.015984479101904397, 0.013040416529857646)","(0.01828435166962631, 0.013304329399602063)"
ndcg,"(0.009873074053369742, 0.0120930546935425)","(0.01760005165052204, 0.016723990942143763)","(0.03455100382102455, 0.02897602579413491)","(0.028053842475038993, 0.02154519971549752)"
