,Top 50,Top 100,Top 200,Top N
precision,"(0.024, 0.019595917942265423)","(0.016, 0.013564659966250536)","(0.013000000000000001, 0.006782329983125268)","(0.013468013468013467, 0.0056340742527547175)"
recall,"(0.02075436252817901, 0.016882447147268047)","(0.027650914252316937, 0.023360604608801742)","(0.04454551779800173, 0.023300757433976763)","(0.06864142384013805, 0.02866199898061424)"
f1,"(0.022258124491117397, 0.018137835180688205)","(0.020269699252264333, 0.017163322781556606)","(0.020125340888422282, 0.010506409278949668)","(0.022516453237743324, 0.009415993450550128)"
ndcg,"(0.02260220718901623, 0.02005955920743072)","(0.024291570404713168, 0.02121698226938568)","(0.03361258257241494, 0.02005781193243674)","(0.04557967015032095, 0.023111022367872172)"
