,Top 50,Top 100,Top 200,Top N
precision,"(0.0, 0.0)","(0.008695652173913044, 0.017391304347826087)","(0.008695652173913044, 0.017391304347826087)","(0.008695652173913044, 0.017391304347826087)"
recall,"(0.0, 0.0)","(0.002, 0.004)","(0.001, 0.002)","(0.0015625, 0.003125)"
f1,"(0.0, 0.0)","(0.0032520325203252037, 0.006504065040650407)","(0.0017937219730941706, 0.0035874439461883413)","(0.0026490066225165563, 0.005298013245033113)"
ndcg,"(0.0, 0.0)","(0.00589816479074674, 0.01179632958149348)","(0.00589816479074674, 0.01179632958149348)","(0.00589816479074674, 0.01179632958149348)"
