,Top 25,Top 50,Top 100,Top 200
precision,"(0.0, 0.0)","(0.008, 0.009797958971132713)","(0.008, 0.0074833147735478825)","(0.005, 0.00547722557505166)"
recall,"(0.0, 0.0)","(0.02, 0.024494897427831782)","(0.04, 0.03741657386773942)","(0.05, 0.05477225575051661)"
f1,"(0.0, 0.0)","(0.011428571428571429, 0.013997084244475301)","(0.013333333333333332, 0.012472191289246471)","(0.00909090909090909, 0.009958591954639386)"
ndcg,"(0.0, 0.0)","(0.010276325792722632, 0.012592597082127838)","(0.02001969480820958, 0.01896327043127596)","(0.02414718009590955, 0.02612943058658249)"
