,Top 50,Top 100,Top 200,Top N
precision,"(0.0, 0.0)","(0.0, 0.0)","(0.003, 0.004)","(0.0, 0.0)"
recall,"(0.0, 0.0)","(0.0, 0.0)","(0.04205128205128205, 0.05450391899727763)","(0.0, 0.0)"
f1,"(0.0, 0.0)","(0.0, 0.0)","(0.005598864504858609, 0.007450671841482732)","(0.0, 0.0)"
ndcg,"(0.0, 0.0)","(0.0, 0.0)","(0.014232092594225454, 0.019044865508906536)","(0.0, 0.0)"
