,Top 50,Top 100,Top 200,Top N
precision,"(0.0015384615384615385, 0.003076923076923077)","(0.006153846153846154, 0.012307692307692308)","(0.009230769230769232, 0.018461538461538463)","(0.027692307692307693, 0.055384615384615386)"
recall,"(0.004, 0.008)","(0.008, 0.016)","(0.006, 0.012)","(0.005128205128205128, 0.010256410256410256)"
f1,"(0.0022222222222222222, 0.0044444444444444444)","(0.006956521739130433, 0.013913043478260867)","(0.007272727272727274, 0.014545454545454547)","(0.008653846153846154, 0.01730769230769231)"
ndcg,"(0.0026701659551242847, 0.0053403319102485695)","(0.006853428817214466, 0.013706857634428932)","(0.007723988297642359, 0.015447976595284718)","(0.02179418466150792, 0.04358836932301584)"
