,Top 25,Top 50,Top 100,Top 200
precision,"(0.032, 0.02993325909419153)","(0.036, 0.0233238075793812)","(0.044, 0.022449944320643647)","(0.027000000000000003, 0.014696938456699067)"
recall,"(0.005904789883683016, 0.005508936553255112)","(0.013381212469029694, 0.008630031352776586)","(0.032747353322368576, 0.016521806035423244)","(0.04026921226837613, 0.021773391848347923)"
f1,"(0.009969725471468271, 0.009305154799538888)","(0.019509287040938517, 0.01259766700935798)","(0.03754550486671117, 0.019032163813822976)","(0.032322947055884746, 0.01754476681584108)"
ndcg,"(0.03136449377980072, 0.028987249647160224)","(0.03451650139739871, 0.023927291795495874)","(0.04154272009809205, 0.02275834533041742)","(0.03767057268512104, 0.020728728655556188)"
