,Top 50,Top 100,Top 200,Top N
precision,"(0.016, 0.014966629547095765)","(0.016, 0.013564659966250536)","(0.011, 0.004898979485566356)","(0.015841584158415842, 0.013430356402228252)"
recall,"(0.04426470588235294, 0.03890921915999007)","(0.09102941176470589, 0.0775439377626454)","(0.1238467492260062, 0.05941077048456879)","(0.09102941176470589, 0.0775439377626454)"
f1,"(0.02345932674290883, 0.0215543348987543)","(0.027182434423813732, 0.023020792429133297)","(0.02019302296368138, 0.009032470987186172)","(0.026953426645260237, 0.022826985219343225)"
ndcg,"(0.022635471611475614, 0.022106774611873544)","(0.04052076179170143, 0.034757589483523116)","(0.05197950758530118, 0.027715137129562938)","(0.04052076179170143, 0.034757589483523116)"
