,Top 50,Top 100,Top 200,Top N
precision,"(0.006666666666666666, 0.013333333333333332)","(0.006666666666666666, 0.013333333333333332)","(0.006666666666666666, 0.013333333333333332)","(0.006666666666666666, 0.013333333333333332)"
recall,"(0.004, 0.008)","(0.002, 0.004)","(0.001, 0.002)","(0.001282051282051282, 0.002564102564102564)"
f1,"(0.005, 0.01)","(0.003076923076923077, 0.006153846153846154)","(0.0017391304347826088, 0.0034782608695652175)","(0.002150537634408602, 0.004301075268817204)"
ndcg,"(0.004659561050868027, 0.009319122101736054)","(0.004659561050868027, 0.009319122101736054)","(0.004659561050868027, 0.009319122101736054)","(0.004659561050868027, 0.009319122101736054)"
