,Top 50,Top 100,Top 200,Top N
precision,"(0.0, 0.0)","(0.0, 0.0)","(0.002, 0.002449489742783178)","(0.0, 0.0)"
recall,"(0.0, 0.0)","(0.0, 0.0)","(0.042222222222222223, 0.051830683509736006)","(0.0, 0.0)"
f1,"(0.0, 0.0)","(0.0, 0.0)","(0.003818637502848029, 0.004676878896844687)","(0.0, 0.0)"
ndcg,"(0.0, 0.0)","(0.0, 0.0)","(0.013443526879024049, 0.01648861974958241)","(0.0, 0.0)"
