,Top 25,Top 50,Top 100,Top 200
precision,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.001, 0.002)"
recall,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0125, 0.025000000000000005)"
f1,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0018518518518518517, 0.0037037037037037034)"
ndcg,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.003700986811275104, 0.007401973622550208)"
