,Top 25,Top 50,Top 100,Top 200
precision,"(0.032, 0.02993325909419153)","(0.024, 0.019595917942265426)","(0.034, 0.01019803902718557)","(0.038, 0.009797958971132711)"
recall,"(0.008185168006596577, 0.0076425859614070646)","(0.012288703360131931, 0.010035749842611774)","(0.034887136672850955, 0.010421541106028108)","(0.07791692434549577, 0.01968032216828182)"
f1,"(0.01303565661623025, 0.01217604942476537)","(0.01625398497697845, 0.013272514302617638)","(0.03443666487456868, 0.010306773751215645)","(0.05108412041589748, 0.013082574462139673)"
ndcg,"(0.023901309979111506, 0.022049791714105663)","(0.02079037764445149, 0.0170217609085589)","(0.029868350875625716, 0.010086332768484672)","(0.05739420390268739, 0.014314045082675647)"
