,Top 25,Top 50,Top 100,Top 200
precision,"(0.072, 0.0466476151587624)","(0.072, 0.02039607805437114)","(0.072, 0.01833030277982336)","(0.05500000000000001, 0.008944271909999158)"
recall,"(0.014864975054008842, 0.009532627249834499)","(0.029842244080095937, 0.008745849112173184)","(0.05949430985415051, 0.01514804468813944)","(0.09096049753045507, 0.0149966866648566)"
f1,"(0.024641730366813032, 0.015829975721974525)","(0.0421931429503147, 0.012240526676803067)","(0.065147717857056, 0.016572704589159354)","(0.06854615911088933, 0.011189932161682261)"
ndcg,"(0.05371147229939861, 0.03483803377368491)","(0.06097477315861292, 0.017595344779503832)","(0.06544509430942609, 0.014723733020248805)","(0.07813834146993318, 0.009424747756651147)"
