,Top 50,Top 100,Top 200,Top N
precision,"(0.004, 0.008)","(0.008, 0.004)","(0.012, 0.006)","(0.01, 0.008164965809277261)"
recall,"(0.016666666666666666, 0.03333333333333333)","(0.06666666666666667, 0.03333333333333333)","(0.2, 0.1)","(0.05, 0.0408248290463863)"
f1,"(0.0064516129032258064, 0.012903225806451615)","(0.014285714285714285, 0.007142857142857143)","(0.022641509433962263, 0.011320754716981131)","(0.016666666666666666, 0.013608276348795434)"
ndcg,"(0.009244881659485362, 0.018489763318970724)","(0.02875099276778399, 0.015366853625732082)","(0.07337664235109069, 0.029638162379484953)","(0.02265570616699957, 0.019071343944093443)"
