,Top 50,Top 100,Top 200,Top N
precision,"(0.076, 0.014966629547095768)","(0.052000000000000005, 0.017204650534085254)","(0.047, 0.013266499161421601)","(0.03016759776536313, 0.0030371520354376324)"
recall,"(0.01851677311958917, 0.0034498227877662706)","(0.02531070789064065, 0.008078273758738078)","(0.045798656645869754, 0.012434938718506807)","(0.15807743752728384, 0.01437841755795869)"
f1,"(0.029777300152795495, 0.005609235887303619)","(0.03404654097717831, 0.010994646291149249)","(0.046388624624132166, 0.012837273038798096)","(0.050664405673243505, 0.00501588621747851)"
ndcg,"(0.06737847845100772, 0.01761577334661735)","(0.052185678220462065, 0.01609056023745014)","(0.048288041774065385, 0.011165467896858844)","(0.11451726388933633, 0.012489161527299293)"
