,Top 25,Top 50,Top 100,Top 200
precision,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.002, 0.002449489742783178)"
recall,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.02761904761904762, 0.033859788256440336)"
f1,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.003729623994783743, 0.004567858542846313)"
ndcg,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.009763015936552516, 0.011967238799749508)"
