,Top 50,Top 100,Top 200,Top N
precision,"(0.013793103448275862, 0.027586206896551724)","(0.013793103448275862, 0.027586206896551724)","(0.013793103448275862, 0.027586206896551724)","(0.013793103448275862, 0.027586206896551724)"
recall,"(0.008, 0.016)","(0.004, 0.008)","(0.002, 0.004)","(0.0025, 0.005)"
f1,"(0.010126582278481013, 0.020253164556962026)","(0.0062015503875969, 0.0124031007751938)","(0.003493449781659389, 0.006986899563318778)","(0.004232804232804233, 0.008465608465608466)"
ndcg,"(0.009999932400895079, 0.019999864801790158)","(0.009999932400895079, 0.019999864801790158)","(0.009999932400895079, 0.019999864801790158)","(0.009999932400895079, 0.019999864801790158)"
