,Top 50,Top 100,Top 200,Top N
precision,"(0.036, 0.0265329983228432)","(0.02, 0.016733200530681513)","(0.011000000000000001, 0.008)","(0.03333333333333333, 0.02456759103966963)"
recall,"(0.16545454545454547, 0.11955841616562617)","(0.18363636363636363, 0.1510732951115708)","(0.20363636363636362, 0.14518156201947002)","(0.16545454545454547, 0.11955841616562617)"
f1,"(0.05912568306010928, 0.04343131447137832)","(0.03606879606879607, 0.030130397879736755)","(0.020871135183931393, 0.015163662775922602)","(0.055480769230769236, 0.040762426863313495)"
ndcg,"(0.09910761021330983, 0.07229744510653828)","(0.10594434546081835, 0.08296462451544763)","(0.1122027993103869, 0.07941621314216823)","(0.09910761021330983, 0.07229744510653828)"
