,Top 50,Top 100,Top 200,Top N
precision,"(0.088, 0.027129319932501072)","(0.088, 0.02135415650406262)","(0.07, 0.014832396974191326)","(0.039637599093997736, 0.0051650075882180655)"
recall,"(0.026597926614186772, 0.008420396763583637)","(0.05288923301931432, 0.01181526302440211)","(0.08433372048006195, 0.01733559543282435)","(0.21076723878349896, 0.023788612268064526)"
f1,"(0.0408441387958228, 0.012847739060344322)","(0.06605505436039788, 0.015194954520767405)","(0.07648437455730273, 0.015930326043966225)","(0.0667186453886775, 0.008478123202153517)"
ndcg,"(0.10536241107036126, 0.04617970629653715)","(0.09902558133873715, 0.024561572899813193)","(0.0885062015032573, 0.018241590343606603)","(0.16288187289724945, 0.018891812830417253)"
