,Top 50,Top 100,Top 200,Top N
precision,"(0.008, 0.009797958971132711)","(0.004, 0.004898979485566356)","(0.003, 0.0024494897427831783)","(0.012903225806451613, 0.015803159630859213)"
recall,"(0.06190476190476191, 0.07619047619047618)","(0.06190476190476191, 0.07619047619047618)","(0.09523809523809523, 0.07824607964359515)","(0.06190476190476191, 0.07619047619047618)"
f1,"(0.014160401002506267, 0.017344010302552337)","(0.007511902662669723, 0.009200333246658603)","(0.005815862295389522, 0.004748662562632214)","(0.021337126600284494, 0.026136407574067374)"
ndcg,"(0.030334904847852655, 0.03722382010622212)","(0.030334904847852655, 0.03722382010622212)","(0.03845713917881367, 0.03401060326200087)","(0.030334904847852655, 0.03722382010622212)"
