,Top 50,Top 100,Top 200,Top N
precision,"(0.052000000000000005, 0.020396078054371138)","(0.048, 0.007483314773547881)","(0.041999999999999996, 0.006782329983125269)","(0.026614987080103358, 0.0026603695454746772)"
recall,"(0.01738004743740853, 0.006740367506626461)","(0.032228551450525944, 0.005212314154222228)","(0.05641382892656917, 0.009457973465051887)","(0.13844274608511217, 0.01661489038965725)"
f1,"(0.02604935902198157, 0.010128056569598982)","(0.038557510731864454, 0.006126221021539765)","(0.04814342373814361, 0.007881351950936692)","(0.044642565035432194, 0.004598348365854057)"
ndcg,"(0.06079176698834905, 0.026150401983624973)","(0.05428369185689974, 0.01055484616130814)","(0.05658839159298083, 0.01099680594369685)","(0.10440475566497476, 0.012294586302093803)"
