,Top 50,Top 100,Top 200,Top N
precision,"(0.004, 0.008)","(0.006, 0.004898979485566357)","(0.004, 0.0037416573867739412)","(0.0024691358024691358, 0.0049382716049382715)"
recall,"(0.015384615384615385, 0.03076923076923077)","(0.04217032967032967, 0.03473835648708414)","(0.05645604395604396, 0.05346989532958877)","(0.015384615384615385, 0.03076923076923077)"
f1,"(0.00634920634920635, 0.0126984126984127)","(0.010496870800743085, 0.008571923497364646)","(0.0074681038811616664, 0.006991601014322406)","(0.00425531914893617, 0.00851063829787234)"
ndcg,"(0.014106670849747061, 0.028213341699494125)","(0.024073679082245125, 0.02576818785473119)","(0.028972306583760425, 0.02784131444431375)","(0.014106670849747061, 0.028213341699494125)"
