,Top 50,Top 100,Top 200,Top N
precision,"(0.00847457627118644, 0.01694915254237288)","(0.015254237288135594, 0.030508474576271188)","(0.02033898305084746, 0.040677966101694926)","(0.03898305084745763, 0.07796610169491526)"
recall,"(0.02, 0.04)","(0.018, 0.036)","(0.012, 0.024)","(0.007467532467532467, 0.014935064935064937)"
f1,"(0.011904761904761904, 0.023809523809523808)","(0.01651376146788991, 0.03302752293577982)","(0.01509433962264151, 0.030188679245283016)","(0.012534059945504087, 0.025068119891008173)"
ndcg,"(0.012908989207879928, 0.025817978415759855)","(0.014404580166698194, 0.028809160333396384)","(0.01644009346492256, 0.03288018692984512)","(0.04018351048436514, 0.08036702096873027)"
