,Top 50,Top 100,Top 200,Top N
precision,"(0.016, 0.0233238075793812)","(0.018, 0.0116619037896906)","(0.017, 0.005099019513592785)","(0.015748031496062992, 0.008625552086695529)"
recall,"(0.035526315789473684, 0.049161951821761585)","(0.08432221858995313, 0.05650702458208349)","(0.15481911299989104, 0.0432309733300509)","(0.09301787076386618, 0.05277472495952864)"
f1,"(0.02201331766549158, 0.03159547615212466)","(0.029625055736543178, 0.01924837271881215)","(0.03061645235336169, 0.009086262039731008)","(0.026904936688480187, 0.014764440646535829)"
ndcg,"(0.022836779927629374, 0.031111753677230514)","(0.04286343555984909, 0.03039654541372944)","(0.06966142155228863, 0.026221048678406578)","(0.04639425187836716, 0.02864725929354459)"
