,Top 50,Top 100,Top 200,Top N
precision,"(0.0, 0.0)","(0.004, 0.004898979485566356)","(0.002, 0.002449489742783178)","(0.0, 0.0)"
recall,"(0.0, 0.0)","(0.030952380952380953, 0.03809523809523809)","(0.030952380952380953, 0.03809523809523809)","(0.0, 0.0)"
f1,"(0.0, 0.0)","(0.007080200501253134, 0.008672005151276169)","(0.0037559513313348615, 0.0046001666233293015)","(0.0, 0.0)"
ndcg,"(0.0, 0.0)","(0.011216268663911363, 0.013744670181456926)","(0.011216268663911363, 0.013744670181456926)","(0.0, 0.0)"
