,Top 50,Top 100,Top 200,Top N
precision,"(0.0, 0.0)","(0.0, 0.0)","(0.013333333333333332, 0.026666666666666665)","(0.0, 0.0)"
recall,"(0.0, 0.0)","(0.0, 0.0)","(0.001, 0.002)","(0.0, 0.0)"
f1,"(0.0, 0.0)","(0.0, 0.0)","(0.0018604651162790697, 0.0037209302325581393)","(0.0, 0.0)"
ndcg,"(0.0, 0.0)","(0.0, 0.0)","(0.00873375970498767, 0.01746751940997534)","(0.0, 0.0)"
