,Top 50,Top 100,Top 200,Top N
precision,"(0.024, 0.019595917942265426)","(0.034, 0.01019803902718557)","(0.038, 0.009797958971132711)","(0.030374753451676527, 0.0050824847048225345)"
recall,"(0.012288703360131931, 0.010035749842611774)","(0.034887136672850955, 0.010421541106028108)","(0.07791692434549577, 0.01968032216828182)","(0.15802540713254998, 0.026122873489406093)"
f1,"(0.01625398497697845, 0.013272514302617638)","(0.03443666487456868, 0.010306773751215645)","(0.05108412041589748, 0.013082574462139673)","(0.05095413747616281, 0.008506135395509172)"
ndcg,"(0.020715355535342435, 0.016951239203351683)","(0.029805382533677195, 0.01002944328639934)","(0.05732914412250786, 0.01425252571525498)","(0.10154851737061701, 0.016915509672826214)"
