,Top 25,Top 50,Top 100,Top 200
precision,"(0.016, 0.019595917942265423)","(0.012, 0.009797958971132711)","(0.012, 0.004)","(0.012, 0.005999999999999999)"
recall,"(0.04722222222222222, 0.05800170282728083)","(0.07222222222222222, 0.05918687709072921)","(0.14444444444444443, 0.053142017971413866)","(0.28055555555555556, 0.1318786385607691)"
f1,"(0.023885918003565064, 0.029259585780653394)","(0.02057276446522502, 0.016798947485457946)","(0.02215426435609922, 0.007441774217723704)","(0.02301251380198748, 0.0114756939221962)"
ndcg,"(0.024652819091398756, 0.03071646403371392)","(0.03381149984052246, 0.02876547054619255)","(0.058256490320685514, 0.018031472267868113)","(0.09851281921580778, 0.03832934807127035)"
