,Top 50,Top 100,Top 200,Top N
precision,"(0.004, 0.008)","(0.004, 0.004898979485566356)","(0.003, 0.0024494897427831783)","(0.004705882352941176, 0.005763505277136889)"
recall,"(0.014285714285714285, 0.02857142857142857)","(0.026785714285714284, 0.03292694449033174)","(0.03855042016806722, 0.03174216108934821)","(0.026785714285714284, 0.03292694449033174)"
f1,"(0.00625, 0.012500000000000002)","(0.006957047791893528, 0.008521145486586335)","(0.005564328702706755, 0.004543446136544426)","(0.008000800080007999, 0.009799755409236707)"
ndcg,"(0.006247896855461058, 0.012495793710922116)","(0.011628053291997873, 0.01430733618214449)","(0.015751214870862527, 0.013297106042650445)","(0.011628053291997873, 0.01430733618214449)"
