,Top 25,Top 50,Top 100,Top 200
precision,"(0.016, 0.019595917942265423)","(0.008, 0.009797958971132711)","(0.006, 0.008)","(0.007999999999999998, 0.006782329983125269)"
recall,"(0.03333333333333333, 0.0408248290463863)","(0.03333333333333333, 0.0408248290463863)","(0.05, 0.06666666666666668)","(0.13666666666666666, 0.11175369742826806)"
f1,"(0.021621621621621623, 0.026480970192250573)","(0.012903225806451613, 0.015803159630859213)","(0.010714285714285714, 0.014285714285714285)","(0.015112309074573223, 0.012788948698376795)"
ndcg,"(0.044413406389058066, 0.05499928875070902)","(0.044413406389058066, 0.05499928875070902)","(0.05126957477885681, 0.06559522249578331)","(0.07885165498366481, 0.07435039029547412)"
