,Top 25,Top 50,Top 100,Top 200
precision,"(0.11200000000000002, 0.07332121111929342)","(0.072, 0.027129319932501072)","(0.042, 0.017204650534085257)","(0.027999999999999997, 0.009797958971132711)"
recall,"(0.06859693793583395, 0.04291713584239755)","(0.08912950763400056, 0.030638202741482958)","(0.10403261907113, 0.039676516374204086)","(0.13882584039836926, 0.044331254445601466)"
f1,"(0.08506345851495105, 0.054164563930176775)","(0.07962783511879751, 0.028816519006025658)","(0.059823734175708035, 0.024005472346801487)","(0.04659215446188083, 0.01605817600052147)"
ndcg,"(0.15000066042664323, 0.10155304605108754)","(0.11948526535900375, 0.06136226883319813)","(0.12750299443180138, 0.06441792290595555)","(0.14461279572520308, 0.06787148167857121)"
