,Top 50,Top 100,Top 200,Top N
precision,"(0.012, 0.016)","(0.008, 0.0074833147735478825)","(0.007000000000000001, 0.002449489742783178)","(0.006896551724137931, 0.006451133425472313)"
recall,"(0.025757575757575757, 0.03374402644139407)","(0.034453227931488806, 0.03151442444554604)","(0.060935441370223976, 0.01981328653047208)","(0.034453227931488806, 0.03151442444554604)"
f1,"(0.016366366366366368, 0.021698644924324474)","(0.012982333948141172, 0.012091448229924709)","(0.012556198094314686, 0.0043609929911882644)","(0.011490534280650014, 0.010707316840625114)"
ndcg,"(0.01588722049327105, 0.020301932096903827)","(0.019916685321447188, 0.018683704174576793)","(0.03026207050045935, 0.011304557858709416)","(0.019916685321447188, 0.018683704174576793)"
