,Top 50,Top 100,Top 200,Top N
precision,"(0.008, 0.009797958971132711)","(0.013999999999999999, 0.014966629547095767)","(0.01, 0.009486832980505138)","(0.01414141414141414, 0.015117807623329057)"
recall,"(0.021764705882352943, 0.026801848823281217)","(0.07464052287581699, 0.07625117956731767)","(0.10686274509803921, 0.09697461191277049)","(0.07464052287581699, 0.07625117956731767)"
f1,"(0.011684434968017058, 0.014316169046213927)","(0.02356077067941475, 0.0249999612917757)","(0.018282132191572854, 0.01727557827563209)","(0.023760733294201856, 0.02521054806969562)"
ndcg,"(0.01085435610525819, 0.013318141125158443)","(0.03382913429064044, 0.035976821509938146)","(0.04605886991541628, 0.043866597159939576)","(0.03382913429064044, 0.035976821509938146)"
