,Top 50,Top 100,Top 200,Top N
precision,"(0.044, 0.014966629547095765)","(0.03, 0.01414213562373095)","(0.021, 0.009695359714832659)","(0.05, 0.020786985482077452)"
recall,"(0.31499999999999995, 0.07929536620787381)","(0.42928571428571427, 0.1884469285978394)","(0.5935714285714285, 0.2537916548699595)","(0.25785714285714284, 0.0798084441340767)"
f1,"(0.07708518946268492, 0.02546662298116286)","(0.05604213024773772, 0.026334490083787278)","(0.04055211137395655, 0.018684967009350788)","(0.08354045274067963, 0.033315236355820135)"
ndcg,"(0.16319729050107834, 0.06704222030492898)","(0.1996743617757853, 0.07607127401932656)","(0.24520718199486535, 0.10723686620581821)","(0.14340275014864373, 0.0742975331415007)"
