,Top 25,Top 50,Top 100,Top 200
precision,"(0.032, 0.02993325909419153)","(0.032, 0.03249615361854384)","(0.02, 0.020976176963403034)","(0.015, 0.008944271909999158)"
recall,"(0.022434875066454012, 0.020883467518681188)","(0.044072301967038804, 0.044237542054531474)","(0.05489101541733121, 0.05696246421035581)","(0.08403379456011036, 0.04822108750575115)"
f1,"(0.02636051217170493, 0.02458620564646555)","(0.03706029190758807, 0.037457698988660235)","(0.02930760404848438, 0.03065506115905041)","(0.025446897103833722, 0.015088117594619728)"
ndcg,"(0.025810531519056955, 0.02354160960206384)","(0.03037500940291164, 0.030096363250744766)","(0.03602862643628749, 0.036680098674632344)","(0.04805263278082849, 0.03283286570418579)"
