,Top 50,Top 100,Top 200,Top N
precision,"(0.02, 0.012649110640673518)","(0.016, 0.008)","(0.009, 0.0037416573867739412)","(0.017910447761194027, 0.011169126527683407)"
recall,"(0.07472527472527472, 0.04525551710323956)","(0.11978021978021977, 0.0614206092856357)","(0.1340659340659341, 0.05663340099659397)","(0.09010989010989011, 0.05533924532753482)"
f1,"(0.03154761904761905, 0.019765729214940114)","(0.028225430833721477, 0.014152072180704318)","(0.016866306875521035, 0.007017330768454892)","(0.029876543209876538, 0.018577478158005516)"
ndcg,"(0.05699802913370322, 0.03595334418462623)","(0.07500555277895662, 0.04644732748429808)","(0.07987340441271111, 0.04236520427929792)","(0.0633464600467638, 0.043767401947074014)"
