,Top 50,Top 100,Top 200,Top N
precision,"(0.0, 0.0)","(0.04, 0.08)","(0.04, 0.08)","(0.0, 0.0)"
recall,"(0.0, 0.0)","(0.002, 0.004)","(0.001, 0.002)","(0.0, 0.0)"
f1,"(0.0, 0.0)","(0.003809523809523809, 0.007619047619047618)","(0.001951219512195122, 0.003902439024390244)","(0.0, 0.0)"
ndcg,"(0.0, 0.0)","(0.06783204105472324, 0.13566408210944647)","(0.06783204105472324, 0.13566408210944647)","(0.0, 0.0)"
