Algorithm,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
pdiamond,46,47,53,45,23,23,34,38
heat_diffusion,21,27,32,42,12,16,15,15
draw,33,26,15,13,65,61,51,47
