Algorithm,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
pdiamond,6,5,3,2,4,6,6,6
heat_diffusion,4,4,4,3,3,3,3,3
draw,0,1,3,5,3,1,1,1
