Algorithm,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
pdiamond,51,51,57,56,33,33,37,41
heat_diffusion,18,25,28,35,16,21,21,19
draw,31,24,15,9,51,46,42,40
