Algorithm,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
pdiamond,6,5,4,2,4,4,5,6
heat_diffusion,4,5,3,3,2,1,2,2
draw,0,0,3,5,4,5,3,2
