Algorithm,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
pdiamond,43,35,26,18,32,35,38,37
heat_diffusion,21,27,22,19,14,18,18,10
draw,36,38,52,63,54,47,44,53
