Algorithm,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
pdiamond,45,46,43,26,24,30,36,40
heat_diffusion,21,24,29,32,13,17,15,14
draw,34,30,28,42,63,53,49,46
