Algorithm,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
diamond,27,23,16,6,10,9,13,9
pdiamond,23,25,30,19,16,22,23,29
heat_diffusion,29,31,33,54,53,48,43,41
