Algorithm,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
pdiamond,5,4,5,5,6,7,7,7
no clear winner,3,4,3,3,2,1,1,1
