Algorithm,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
diamond,3,2,1,1,4,4,1,1
pdiamond,1,1,2,3,0,1,3,6
heat_diffusion,2,3,1,3,0,0,0,1
no clear winner,4,4,6,3,6,5,6,2
