Algorithm,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
diamond,2,2,1,2,2,2,1,1
pdiamond,1,1,3,4,0,2,4,6
heat_diffusion,1,3,0,4,0,0,0,1
no clear winner,6,4,6,0,8,6,5,2
