Algorithm,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
diamond,34,30,25,14,9,8,15,15
pdiamond,22,24,28,25,6,8,12,22
heat_diffusion,15,22,21,36,8,11,9,9
no clear winner,29,24,26,25,77,73,64,54
