Algorithm,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
diamond,30,21,14,3,20,21,22,13
pdiamond,19,14,8,7,11,15,18,25
heat_diffusion,15,19,16,16,10,13,13,7
no clear winner,36,46,62,74,59,51,47,55
