Algorithm,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
diamond,34,28,18,7,13,10,17,14
pdiamond,20,19,19,12,6,8,13,23
heat_diffusion,15,18,16,27,10,13,9,9
no clear winner,31,35,47,54,71,69,61,54
