Algorithm,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
diamond,4,4,3,2,6,5,4,2
pdiamond,2,2,4,3,3,4,4,8
heat_diffusion,2,2,2,3,0,0,0,0
no clear winner,2,2,1,2,1,1,2,0
