Algorithm,KF Top 25,KF Top 50,KF Top 100,KF Top 200,EX Top 25,EX Top 50,EX Top 100,EX Top 200
diamond,40,36,39,28,24,25,23,19
pdiamond,23,21,29,27,17,13,18,26
heat_diffusion,12,17,18,24,12,14,13,11
no clear winner,25,26,14,21,47,48,46,44
