,Top 25,Top 50,Top 100,Top 200
precision,"(0.016, 0.032)","(0.016, 0.014966629547095765)","(0.03200000000000001, 0.02039607805437114)","(0.02, 0.011401754250991379)"
recall,"(0.005970149253731343, 0.011940298507462687)","(0.012448728146103339, 0.011340603709041025)","(0.04972785895343492, 0.030684423970055223)","(0.06208879078698339, 0.03439888791571287)"
f1,"(0.008695652173913044, 0.017391304347826087)","(0.013989586403379505, 0.012887821628172782)","(0.038909940092798564, 0.024490499538568418)","(0.030234618390231616, 0.017112060392980088)"
ndcg,"(0.011975095830095227, 0.023950191660190454)","(0.013357768791246335, 0.013827522992644005)","(0.031208765918148234, 0.019879121052306534)","(0.03772775109146733, 0.021125973200647973)"
