,Top 50,Top 100,Top 200,Top N
precision,"(0.0, 0.0)","(0.002, 0.004)","(0.001, 0.002)","(0.0019230769230769232, 0.0038461538461538464)"
recall,"(0.0, 0.0)","(0.01, 0.02)","(0.01, 0.02)","(0.01, 0.02)"
f1,"(0.0, 0.0)","(0.003333333333333333, 0.006666666666666666)","(0.0018181818181818182, 0.0036363636363636364)","(0.0032258064516129032, 0.0064516129032258064)"
ndcg,"(0.0, 0.0)","(0.004476785437408241, 0.008953570874816482)","(0.004476785437408241, 0.008953570874816482)","(0.004476785437408241, 0.008953570874816482)"
