,Top 50,Top 100,Top 200,Top N
precision,"(0.02, 0.01788854381999832)","(0.01, 0.00894427190999916)","(0.006, 0.004898979485566356)","(0.012195121951219513, 0.010907648670730682)"
recall,"(0.06333333333333332, 0.05592653911854173)","(0.06333333333333332, 0.05592653911854173)","(0.07666666666666666, 0.06267198558987723)","(0.06333333333333332, 0.05592653911854173)"
f1,"(0.030396270396270398, 0.02710449577647679)","(0.01727136431784108, 0.015421275071188102)","(0.011128337639965546, 0.00908630406694808)","(0.020450241952451084, 0.018253810143484008)"
ndcg,"(0.03925744995378275, 0.03647042101060491)","(0.03925744995378275, 0.03647042101060491)","(0.043794631109550994, 0.037045506262088614)","(0.03925744995378275, 0.03647042101060491)"
