,Top 50,Top 100,Top 200,Top N
precision,"(0.0, 0.0)","(0.0, 0.0)","(0.02857142857142857, 0.05714285714285714)","(0.0, 0.0)"
recall,"(0.0, 0.0)","(0.0, 0.0)","(0.002, 0.004)","(0.0, 0.0)"
f1,"(0.0, 0.0)","(0.0, 0.0)","(0.0037383177570093455, 0.007476635514018691)","(0.0, 0.0)"
ndcg,"(0.0, 0.0)","(0.0, 0.0)","(0.01738830106262413, 0.03477660212524826)","(0.0, 0.0)"
