,Top 25,Top 50,Top 100,Top 200
precision,"(0.032, 0.02993325909419153)","(0.02, 0.01788854381999832)","(0.012, 0.0074833147735478825)","(0.007000000000000001, 0.005099019513592784)"
recall,"(0.2, 0.18708286933869708)","(0.25, 0.22360679774997896)","(0.29, 0.19078784028338913)","(0.33999999999999997, 0.2596150997149434)"
f1,"(0.05517241379310346, 0.05160906740377851)","(0.037037037037037035, 0.03312693299999688)","(0.023040293040293043, 0.014400962754859454)","(0.013715925394548061, 0.010001846691570627)"
ndcg,"(0.15392987567928695, 0.15884017363419844)","(0.16880736966113283, 0.18207452364225032)","(0.1798742498928329, 0.1729297360989931)","(0.19095767434006283, 0.19160179770686953)"
