,Top 25,Top 50,Top 100,Top 200
precision,"(0.016, 0.019595917942265426)","(0.012, 0.009797958971132711)","(0.008, 0.004)","(0.009, 0.0037416573867739412)"
recall,"(0.03484848484848485, 0.042747684786866316)","(0.053030303030303025, 0.04338733655538289)","(0.07121212121212121, 0.03572674582591393)","(0.16212121212121214, 0.0696969696969697)"
f1,"(0.02192192192192192, 0.026852959646976763)","(0.01956636700158646, 0.015977038689185992)","(0.01438223938223938, 0.007191389610820523)","(0.01705266923008137, 0.007102764995882696)"
ndcg,"(0.017651891377644544, 0.021634769622887073)","(0.0249630930740461, 0.020585549816494964)","(0.030886984246367172, 0.01638223166552921)","(0.05817954615558761, 0.015912683046120233)"
