,Top 50,Top 100,Top 200,Top N
precision,"(0.012, 0.009797958971132713)","(0.008, 0.0074833147735478825)","(0.006, 0.004898979485566356)","(0.007272727272727273, 0.006803013430498075)"
recall,"(0.028614718614718614, 0.023408027647056653)","(0.038614718614718616, 0.03708963987464689)","(0.057705627705627704, 0.049497692383789496)","(0.038614718614718616, 0.03708963987464689)"
f1,"(0.016903644086742678, 0.013804049451669262)","(0.013251140315223772, 0.012450685571649267)","(0.01086810380928028, 0.008915673194139325)","(0.012237584298653001, 0.011494418438056809)"
ndcg,"(0.038644840412465124, 0.03427723263346468)","(0.0431866844880633, 0.04089049562886833)","(0.050591166505565485, 0.04393523360043712)","(0.0431866844880633, 0.04089049562886833)"
