,Top 25,Top 50,Top 100,Top 200
precision,"(0.008, 0.016)","(0.004, 0.008)","(0.004, 0.004898979485566357)","(0.002, 0.0024494897427831783)"
recall,"(0.04, 0.08)","(0.04, 0.08)","(0.07333333333333333, 0.09043106644167026)","(0.07333333333333333, 0.09043106644167026)"
f1,"(0.013333333333333332, 0.026666666666666665)","(0.007272727272727273, 0.014545454545454545)","(0.007583108715184186, 0.009287547345315705)","(0.0038929670850106554, 0.004767914993113192)"
ndcg,"(0.015694856454221286, 0.03138971290844257)","(0.015694856454221286, 0.03138971290844257)","(0.024824020288378684, 0.0321266053897647)","(0.024824020288378684, 0.0321266053897647)"
